id,question,answer,alt
469,【一網打尽】,いちもうだじん,
470,【一攫千金】,いっかくせんきん,
471,【一喜一憂】,いっきいちゆう,
472,【因果応報】,いんがおうほう,
473,【右往左往】,うおうさおう,
474,【雲散霧消】,うんさんむしょう,
475,【栄枯盛衰】,えいこせいすい,
476,【岡目八目】,おかめはちもく,
477,【花鳥風月】,かちょうふうげつ,
478,【完全無欠】,かんぜんむけつ,
479,【危機一髪】,ききいっぱつ,
480,【起死回生】,きしかいせい,
481,【疑心暗鬼】,ぎしんあんき,
482,【奇想天外】,きそうてんがい,
483,【喜怒哀楽】,きどあいらく,
484,【堅忍不抜】,けんにんふばつ,
485,【公明正大】,こうめいせいだい,
486,【古今東西】,ここんとうざい,
487,【言語道断】,ごんごどうだん,
488,【才色兼備】,さいしょくけんび,
489,【四苦八苦】,しくはっく,
490,【試行錯誤】,しこうさくご,
491,【自業自得】,じごうじとく,
492,【弱肉強食】,じゃくにくきょうしょく,
493,【縦横無尽】,じゅうおうむじん,
494,【十人十色】,じゅうにんといろ,
495,【取捨選択】,しゅしゃせんたく,
496,【心機一転】,しんきいってん,
497,【絶体絶命】,ぜったいぜつめい,
498,【千差万別】,せんさばんべつ,
499,【前代未聞】,ぜんだいみもん,
500,【千変万化】,せんぺんばんか,
501,【大同小異】,だいどうしょうい,
502,【単刀直入】,たんとうちょくにゅう,
503,【中途半端】,ちゅうとはんぱ,
504,【適材適所】,てきざいてきしょ,
505,【徹頭徹尾】,てっとうてつび,
506,【独立独歩】,どくりつどっぽ,
507,【日進月歩】,にっしんげっぽ,
508,【馬耳東風】,ばじとうふう,
509,【八方美人】,はっぽうびじん,
510,【半信半疑】,はんしんはんぎ,
511,【表裏一体】,ひょうりいったい,
512,【粉骨砕身】,ふんこつさいしん,
513,【本末転倒】,ほんまつてんとう,
514,【無我夢中】,むがむちゅう,
515,【門外不出】,もんがいふしゅつ,
516,【有名無実】,ゆうめいむじつ,
517,【油断大敵】,ゆだんたいてき,
518,【優柔不断】,ゆうじゅうふだん,
519,【用意周到】,よういしゅうとう,
520,【理路整然】,りろせいぜん,
